break_even_price,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
491.015,171,0.0,0.0,113.82,113.82,1.70613e+18,113.82,113.82,113.82,2.0,113.82,call,american,2024-01-31,100,375,O:SPY240131C00375000,116.21,305,316,115.82,305,316,1706562880324993536,116.015,REAL-TIME,1.706118364109e+18,[233],113.82,2.0,304.0,REAL-TIME,0.075,1706566042664777472,490.94,SPY,REAL-TIME,1.145985085558687,0.9992520731342172,5.198146375249352e-05,-0.05409791252558333,0.0007857180186869917
491.015,201,0.0,0.0,85.45,85.56,1.7024148e+18,84.13,84.13,85.45,64.0,85.4941,call,american,2024-01-31,100,380,O:SPY240131C00380000,111.21,305,316,110.82,305,316,1706562880324607488,111.015,REAL-TIME,1.702413060847e+18,[209],85.45,1.0,313.0,REAL-TIME,0.075,1706566042664777472,490.94,SPY,REAL-TIME,1.074484414838992,0.9993383373427058,4.844206108193162e-05,-0.05075595634397346,0.000790678026142081
491.02,140,0.0,0.0,80.6,80.64,1.7024148e+18,79.12,79.12,80.6,62.0,79.6174,call,american,2024-01-31,100,385,O:SPY240131C00385000,106.21,305,316,105.83,305,316,1706562880324988672,106.02,REAL-TIME,1.702412620091e+18,[209],80.6,10.0,313.0,REAL-TIME,0.08,1706566042664777472,490.94,SPY,REAL-TIME,1.066764573456878,0.9990442961903424,7.276270740639138e-05,-0.06034435954461631,0.0007959797413275597
491.02,354,0.0,0.0,94.1,94.1,1.7060436e+18,94.1,94.1,94.1,1.0,94.1,call,american,2024-01-31,100,390,O:SPY240131C00390000,101.21,305,316,100.83,305,316,1706562880325043712,101.02,REAL-TIME,1.706032447928e+18,[209],94.1,1.0,304.0,REAL-TIME,0.08,1706566042664777472,490.94,SPY,REAL-TIME,0.9967214948722886,0.9991236374734385,7.092846840107285e-05,-0.05700219913148136,0.000800296034455826
491.025,231,0.0,0.0,75.21,75.21,1.704402e+18,75.21,75.21,75.21,2.0,75.21,call,american,2024-01-31,100,395,O:SPY240131C00395000,96.22,305,316,95.83,305,316,1706562880324993536,96.025,REAL-TIME,1.704379732088e+18,[209],75.21,1.0,313.0,REAL-TIME,0.085,1706566042664777472,490.94,SPY,REAL-TIME,0.9806457026246449,0.9988044462101866,9.951813356508875e-05,-0.06604869122947515,0.0026474752592801016
491.025,263,0.0,0.0,87.69,87.69,1.7063028e+18,87.69,87.69,87.69,1.0,87.69,call,american,2024-01-31,100,400,O:SPY240131C00400000,91.22,305,316,90.83,305,316,1706562880324612608,91.025,REAL-TIME,1.706300670347e+18,[233],87.69,1.0,302.0,REAL-TIME,0.085,1706566042664777472,490.94,SPY,REAL-TIME,0.920445895354946,0.9988745352643957,0.00010021856610107915,-0.06321564132827713,0.00266371035248191
491.035,208,0.0,0.0,74.48,74.48,1.7050932e+18,74.48,74.48,74.48,20.0,74.48,call,american,2024-01-31,100,405,O:SPY240131C00405000,86.23,305,316,85.84,305,316,1706562880324784128,86.035,REAL-TIME,1.705070345056e+18,[232],74.48,20.0,304.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8983161003698661,0.998092136496715,0.00016951726371648514,-0.08103829405948365,0.002680060208313245
491.03,466,0.0,0.0,65.11,65.14,1.7025012e+18,65.11,65.14,65.11,2.0,65.125,call,american,2024-01-31,100,406,O:SPY240131C00406000,85.22,305,316,84.84,305,316,1706562880324918272,85.03,REAL-TIME,1.702496977444e+18,[209],65.11,1.0,313.0,REAL-TIME,0.09,1706566042664777472,490.94,SPY,REAL-TIME,0.8678341924572541,0.998525725508529,0.00013715313827844308,-0.070143773422634,0.0026825126355559605
491.035,109,0.0,0.0,64.08,64.1,1.7025012e+18,64.08,64.1,64.08,2.0,64.09,call,american,2024-01-31,100,407,O:SPY240131C00407000,84.23,305,316,83.84,305,316,1706562880324632832,84.035,REAL-TIME,1.702496981519e+18,[209],64.08,1.0,308.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8746559414350665,0.9981027339134102,0.00017317047122077046,-0.07990489351863954,0.00268612347735803
491.035,155,0.0,0.0,66.25,66.25,1.7056116e+18,66.25,66.25,66.25,3.0,66.25,call,american,2024-01-31,100,408,O:SPY240131C00408000,83.23,305,316,82.84,305,316,1706562880324427008,83.035,REAL-TIME,1.705598368517e+18,[232],66.25,3.0,304.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8628695259313077,0.9981083559165899,0.00017503486276603355,-0.07933816950651917,0.002689580292743273
491.035,217,0.0,0.0,67.94,67.96,1.7030196e+18,67.94,67.96,67.94,2.0,67.95,call,american,2024-01-31,100,409,O:SPY240131C00409000,82.23,305,316,81.84,305,316,1706562880324391936,82.035,REAL-TIME,1.703006315185e+18,[209],67.94,1.0,313.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8511120216448467,0.9981142041778804,0.00017692467217124031,-0.0787714300262275,0.0026922570180239252
491.035,391,0.0,0.0,65.41,65.49,1.7056116e+18,65.41,65.42,65.41,10.0,65.422,call,american,2024-01-31,100,410,O:SPY240131C00410000,81.23,305,316,80.84,305,316,1706562880324622592,81.035,REAL-TIME,1.705605657556e+18,[232],65.41,3.0,304.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8393832812814149,0.9981202872568463,0.00017884002913588114,-0.07820467537748935,0.0026949959122249574
491.035,81,0.0,0.0,60.19,60.19,1.7025012e+18,60.15,60.15,60.19,2.0,60.17,call,american,2024-01-31,100,411,O:SPY240131C00411000,80.23,305,316,79.84,305,316,1706562880324647680,80.035,REAL-TIME,1.70249702363e+18,[209],60.19,1.0,312.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8276831584066381,0.9981266141582179,0.00018078102564863654,-0.07763790583228534,0.0026986063650242713
491.035,499,0.0,0.0,45.79,46.08,1.7018964e+18,45.79,45.86,45.79,151.0,45.8591,call,american,2024-01-31,100,412,O:SPY240131C00412000,79.23,305,316,78.84,305,316,1706562880324407040,79.035,REAL-TIME,1.701895017026e+18,[209],45.79,1.0,313.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8160115075255515,0.9981331943585822,0.0001827477107699356,-0.07707112168007486,0.0027005548237798694
491.035,211,0.0,0.0,55.62,55.62,1.7044884e+18,55.61,55.61,55.62,5.0,55.618,call,american,2024-01-31,100,413,O:SPY240131C00413000,78.23,305,316,77.84,305,316,1706562880325039104,78.035,REAL-TIME,1.7044844579e+18,[232],55.62,4.0,322.0,REAL-TIME,0.095,1706566042664777472,490.94,SPY,REAL-TIME,0.8043681838468142,0.9981400378411794,0.00018474008426848937,-0.0765043231496876,0.00270405338445309
