break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
491.015,2484,call,american,2024-01-30,100,481,O:SPY240130C00481000,10.09,600,316,9.94,600,316,1706562899307413504,10.015,REAL-TIME,0.075,1706566042664777472,490.94,SPY,REAL-TIME,10.06,10.48,1.7065044e+18,6.48,6.98,250.0,7.8737,1.706561855741722e+18,[232],10.06,1.0,308.0,REAL-TIME,3.45,52.194,6.61,0.17136020717138636,0.9866131047387563,0.007359132116432179,-0.11773965802492292,0.013407716329691741
491.02,2196,call,american,2024-01-30,100,482,O:SPY240130C00482000,9.09,508,316,8.95,605,316,1706562899307438336,9.02,REAL-TIME,0.08,1706566042664777472,490.94,SPY,REAL-TIME,8.82,9.26,1.7065044e+18,5.59,5.98,389.0,6.881,1.7065624057393093e+18,[209],8.82,1.0,307.0,REAL-TIME,3.19,56.661,5.63,0.15930277973025767,0.9830673149039463,0.009630074948692917,-0.12705307528945092,0.01341014380216596
491.03,2180,call,american,2024-01-30,100,483,O:SPY240130C00483000,8.1,511,316,7.96,600,316,1706562899307513600,8.03,REAL-TIME,0.09,1706566042664777472,490.94,SPY,REAL-TIME,7.95,8.43,1.7065044e+18,4.72,5.11,1044.0,6.9276,1.7065627760454098e+18,[232],7.95,1.0,308.0,REAL-TIME,3.18,66.667,4.77,0.15102036667835314,0.9764995332073458,0.013508660602171074,-0.14791297937919742,0.013426514198843836
491.05,4885,call,american,2024-01-30,100,484,O:SPY240130C00484000,7.12,542,316,6.98,600,316,1706562899307533568,7.05,REAL-TIME,0.11,1706566042664777472,490.94,SPY,REAL-TIME,7.31,7.46,1.7065044e+18,3.76,4.23,1014.0,4.7813,1.7065621664257103e+18,[232],7.31,3.0,302.0,REAL-TIME,3.35,84.596,3.96,0.14550088873750205,0.9645585898720292,0.01978509144611549,-0.1840478619862291,0.026918019588157215
491.08,3921,call,american,2024-01-30,100,485,O:SPY240130C00485000,6.15,600,316,6.01,600,316,1706562899307423488,6.08,REAL-TIME,0.14,1706566042664777472,490.94,SPY,REAL-TIME,6.02,6.45,1.7065044e+18,3.0,3.4,3098.0,3.7125,1.70656283220278e+18,[232],6.02,1.0,312.0,REAL-TIME,2.81,87.539,3.21,0.13863789977147573,0.9466237472685913,0.028937035631224406,-0.2286585400573818,0.026985450088385467
491.125,3075,call,american,2024-01-30,100,486,O:SPY240130C00486000,5.19,552,316,5.06,605,316,1706562899307964672,5.125,REAL-TIME,0.185,1706566042664777472,490.94,SPY,REAL-TIME,5.02,5.55,1.7065044e+18,2.25,2.64,6114.0,2.9173,1.706562797733672e+18,[232],5.02,1.0,302.0,REAL-TIME,2.48,97.638,2.54,0.13216661680348618,0.9207081990994747,0.04131676039330918,-0.28219566319513156,0.046750723829645825
491.195,6999,call,american,2024-01-30,100,487,O:SPY240130C00487000,4.25,467,316,4.14,600,316,1706562899307884544,4.195,REAL-TIME,0.255,1706566042664777472,490.94,SPY,REAL-TIME,4.07,4.63,1.7065044e+18,1.62,1.98,29485.0,2.0716,1.7065627428755976e+18,[232],4.07,5.0,323.0,REAL-TIME,2.14,110.881,1.93,0.12612230621003687,0.8815325016800898,0.05861782989576952,-0.34999747827700156,0.04692082306951852
491.315,7238,call,american,2024-01-30,100,488,O:SPY240130C00488000,3.36,494,316,3.27,600,316,1706562899307889664,3.315,REAL-TIME,0.375,1706566042664777472,490.94,SPY,REAL-TIME,3.32,3.83,1.7065044e+18,1.12,1.43,93846.0,1.5582,1.7065628999024064e+18,[227],3.32,1.0,302.0,REAL-TIME,1.88,130.556,1.44,0.12018397310937234,0.8214974300022724,0.08037366984066303,-0.4226589592113266,0.07068487478415714
491.51,6249,call,american,2024-01-30,100,489,O:SPY240130C00489000,2.52,98,319,2.5,96,315,1706562891079580160,2.51,REAL-TIME,0.57,1706566042664777472,490.94,SPY,REAL-TIME,2.5,3.0,1.7065044e+18,0.74,0.99,82909.0,1.1713,1.7065628910748639e+18,[209],2.5,10.0,303.0,REAL-TIME,1.48,145.098,1.02,0.11683583685129055,0.7363680774549634,0.10370923611696455,-0.5027606088150909,0.09294859662214627
491.78,6214,call,american,2024-01-30,100,490,O:SPY240130C00490000,1.79,14,313,1.77,205,315,1706562893817515520,1.78,REAL-TIME,0.84,1706566042664777472,490.94,SPY,REAL-TIME,1.77,2.28,1.7065044e+18,0.46,0.67,79684.0,1.0013,1.7065628948105656e+18,[209],1.77,1.0,301.0,REAL-TIME,1.06,149.296,0.71,0.11242570509455817,0.6295217680237821,0.12551598788860174,-0.5540664400437757,0.10686817851166505
492.205,6983,call,american,2024-01-30,100,491,O:SPY240130C00491000,1.21,25,313,1.2,192,313,1706562899796153856,1.205,REAL-TIME,1.265,1706566042664777472,490.94,SPY,REAL-TIME,1.2,1.63,1.7065044e+18,0.27,0.42,96495.0,0.7881,1.7065628983377746e+18,[209],1.2,1.0,302.0,REAL-TIME,0.74,160.87,0.46,0.11189236564524879,0.5004412340211036,0.1340435365608262,-0.5781814098991362,0.1076001476843135
492.775,4798,call,american,2024-01-30,100,492,O:SPY240130C00492000,0.78,152,315,0.77,230,313,1706562895034112768,0.775,REAL-TIME,1.835,1706566042664777472,490.94,SPY,REAL-TIME,0.78,1.12,1.7065044e+18,0.15,0.25,46241.0,0.6349,1.706562899732181e+18,[209],0.78,5.0,301.0,REAL-TIME,0.5,178.571,0.28,0.1122191876153948,0.3704859350690158,0.12650111077984683,-0.5438227631871498,0.10833855957859953
493.465,6394,call,american,2024-01-30,100,493,O:SPY240130C00493000,0.47,1,303,0.46,287,313,1706562890916582144,0.465,REAL-TIME,2.525,1706566042664777472,490.94,SPY,REAL-TIME,0.47,0.75,1.7065044e+18,0.08,0.15,36593.0,0.3867,1.7065628937798607e+18,[227],0.47,1.0,304.0,REAL-TIME,0.3,176.471,0.17,0.11169036500054075,0.254194107136438,0.10710428063686714,-0.4533922571750401,0.09545889271028858
494.275,5945,call,american,2024-01-30,100,494,O:SPY240130C00494000,0.28,1208,323,0.27,226,325,1706562887844652544,0.275,REAL-TIME,3.335,1706566042664777472,490.94,SPY,REAL-TIME,0.28,0.47,1.7065044e+18,0.05,0.07,21443.0,0.2691,1.706562897598022e+18,[209],0.28,1.0,304.0,REAL-TIME,0.18,180.0,0.1,0.11347210374275293,0.16574292891139905,0.08124625167321257,-0.3533899097488278,0.07345931759890882
495.145,4097,call,american,2024-01-30,100,495,O:SPY240130C00495000,0.15,1312,325,0.14,904,325,1706562894952884480,0.145,REAL-TIME,4.205,1706566042664777472,490.94,SPY,REAL-TIME,0.15,0.29,1.7065044e+18,0.03,0.05,71340.0,0.08327,1.70656289942975e+18,[209],0.15,1.0,307.0,REAL-TIME,0.09,150.0,0.06,0.11346286460385067,0.09796600635928636,0.05619708234598969,-0.2435945308426598,0.04930121585678843
496.075,3016,call,american,2024-01-30,100,496,O:SPY240130C00496000,0.08,3905,308,0.07,709,325,1706562881669371136,0.075,REAL-TIME,5.135,1706566042664777472,490.94,SPY,REAL-TIME,0.08,0.17,1.7065044e+18,0.02,0.03,14375.0,0.06472,1.7065628850139484e+18,[233],0.08,60.0,302.0,REAL-TIME,0.04,100.0,0.04,0.1152493204981359,0.05533393247274237,0.035766630367225064,-0.1595229040483905,0.028708254619344054
497.035,2945,call,american,2024-01-30,100,497,O:SPY240130C00497000,0.04,4521,316,0.03,1938,316,1706562881612981760,0.035,REAL-TIME,6.095,1706566042664777472,490.94,SPY,REAL-TIME,0.03,0.09,1.7065044e+18,0.01,0.02,7097.0,0.03486,1.706562858532418e+18,[233],0.03,1.0,302.0,REAL-TIME,-0.01,-25.0,0.04,0.11668750213149393,0.02827825132248598,0.020548101181780475,-0.0937405772258459,0.014435784648723873
498.015,293,call,american,2024-01-30,100,498,O:SPY240130C00498000,0.02,2735,325,0.01,5327,322,1706562884068276480,0.015,REAL-TIME,7.075,1706566042664777472,490.94,SPY,REAL-TIME,0.02,0.05,1.7065044e+18,0.01,0.02,4183.0,0.02649,1.7065628737745265e+18,[236],0.02,1.0,308.0,REAL-TIME,0.0,0.0,0.02,0.11813557422900234,0.013163990818500764,0.010616909660777957,-0.04955664933843267,0.014513974989386195
499.015,560,call,american,2024-01-30,100,499,O:SPY240130C00499000,0.02,16917,322,0.01,2788,316,1706562831337044736,0.015,REAL-TIME,8.075,1706566042664777472,490.94,SPY,REAL-TIME,0.02,0.03,1.7065044e+18,0.01,0.01,3959.0,0.01271,1.7065626763553956e+18,[232],0.02,20.0,308.0,REAL-TIME,0.0,0.0,0.02,0.13219638071411,0.01189214038965005,0.008677811838512808,-0.05064492873218074,0.00620621501450328
500.015,4653,call,american,2024-01-30,100,500,O:SPY240130C00500000,0.02,6140,313,0.01,2033,313,1706562131222084864,0.015,REAL-TIME,9.075,1706566042664777472,490.94,SPY,REAL-TIME,0.02,0.02,1.7065044e+18,0.01,0.01,3951.0,0.01434,1.7065628775894397e+18,[209],0.02,1.0,300.0,REAL-TIME,0.0,0.0,0.02,0.14557196521998678,0.010859152037270942,0.0072457362474211045,-0.05122004097531763,0.006197102896899547
505.005,1241,call,american,2024-01-30,100,505,O:SPY240130C00505000,0.01,4512,322,0.0,0,319,1706562844841267200,0.005,REAL-TIME,14.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7065044e+18,0.01,0.01,514.0,0.01,1.706562372472237e+18,[209],0.01,1.0,302.0,REAL-TIME,0.0,0.0,0.01,0.21188301184948966,0.007658920382485046,0.003624672822891886,-0.05409657012545379,0.006175964307980735
510.005,840,call,american,2024-01-30,100,510,O:SPY240130C00510000,0.01,6566,313,0.0,0,301,1706562131222089728,0.005,REAL-TIME,19.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7065044e+18,0.01,0.01,390.0,0.01,1.706561826133394e+18,[236],0.01,80.0,308.0,REAL-TIME,0.0,0.0,0.01,0.2774088335871799,0.005997159411829035,0.002230962190232673,-0.05697366295774602,0.006176546940444587
515.005,3808,call,american,2024-01-30,100,515,O:SPY240130C00515000,0.01,9347,322,0.0,0,319,1706562482458873856,0.005,REAL-TIME,24.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7065044e+18,0.01,0.01,2.0,0.01,1.70656236074854e+18,[209],0.01,1.0,303.0,REAL-TIME,0.0,0.0,0.01,0.3422402948950649,0.004979105942800212,0.0015414544618530587,-0.05985073016905246,0.006187429238194842
520.005,1037,call,american,2024-01-30,100,520,O:SPY240130C00520000,0.01,8769,323,0.0,0,319,1706562219624828416,0.005,REAL-TIME,29.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7062164e+18,0.01,0.01,1000.0,0.01,1.706216365168e+18,[209],0.01,75.0,301.0,REAL-TIME,0.0,0.0,0.01,0.4064173534768401,0.004291597972037794,0.0011464295559460989,-0.06272751524340885,0.006203809892150778
525.005,0,call,american,2024-01-30,100,525,O:SPY240130C00525000,0.01,4476,308,0.0,0,300,1706562001160205056,0.005,REAL-TIME,34.065,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
530.005,55,call,american,2024-01-30,100,530,O:SPY240130C00530000,0.01,4460,313,0.0,0,319,1706562007239950336,0.005,REAL-TIME,39.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7055252e+18,0.01,0.01,1.0,0.01,1.705519192557e+18,[219],0.01,1.0,301.0,REAL-TIME,0.0,0.0,0.01,,,,,
535.005,0,call,american,2024-01-30,100,535,O:SPY240130C00535000,0.01,5677,322,0.0,0,316,1706562245980351232,0.005,REAL-TIME,44.065,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
540.005,0,call,american,2024-01-30,100,540,O:SPY240130C00540000,0.01,5663,322,0.0,0,316,1706562245980356096,0.005,REAL-TIME,49.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7065044e+18,0.01,0.01,1.0,0.01,1.7065601842570312e+18,[209],0.01,1.0,302.0,REAL-TIME,,,,,,,,
545.005,0,call,american,2024-01-30,100,545,O:SPY240130C00545000,0.01,5347,313,0.0,0,316,1706562780448790016,0.005,REAL-TIME,54.065,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
550.005,0,call,american,2024-01-30,100,550,O:SPY240130C00550000,0.01,5347,313,0.0,0,316,1706562780448765184,0.005,REAL-TIME,59.065,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
555.005,0,call,american,2024-01-30,100,555,O:SPY240130C00555000,0.01,5357,313,0.0,0,316,1706562780448765184,0.005,REAL-TIME,64.065,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
560.005,0,call,american,2024-01-30,100,560,O:SPY240130C00560000,0.01,5357,313,0.0,0,316,1706562780448765184,0.005,REAL-TIME,69.065,1706566042664777472,490.94,SPY,REAL-TIME,0.01,0.01,1.7065044e+18,0.01,0.01,1.0,0.01,1.706540407592136e+18,[233],0.01,1.0,302.0,REAL-TIME,,,,,,,,
