break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.975,2,call,american,2024-01-30,100,430,O:SPY240130C00430000,61.17,305,316,60.78,305,316,1706562880324357120,60.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,57.73,57.73,1.7065044e+18,57.73,57.73,1.0,57.73,1.7065449834158766e+18,[232],57.73,1.0,308.0,REAL-TIME,4.49,8.434,53.24,,,,,
490.975,0,call,american,2024-01-30,100,431,O:SPY240130C00431000,60.17,305,316,59.78,305,316,1706562880324357120,59.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,432,O:SPY240130C00432000,59.17,305,316,58.78,305,316,1706562880323559936,58.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,433,O:SPY240130C00433000,58.17,305,316,57.78,305,316,1706562880323535104,57.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,434,O:SPY240130C00434000,57.17,305,316,56.78,305,316,1706562880324107008,56.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,54.16,54.16,1.7065044e+18,53.51,53.51,2.0,53.835,1.7065516272736847e+18,[233],54.16,1.0,312.0,REAL-TIME,,,,,,,,
490.975,0,call,american,2024-01-30,100,435,O:SPY240130C00435000,56.17,305,316,55.78,305,316,1706562880324101376,55.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,436,O:SPY240130C00436000,55.17,305,316,54.78,305,316,1706562880324122368,54.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,437,O:SPY240130C00437000,54.17,305,316,53.78,305,316,1706562880324116480,53.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,438,O:SPY240130C00438000,53.17,305,316,52.78,305,316,1706562880324326912,52.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,439,O:SPY240130C00439000,52.17,305,316,51.78,305,316,1706562880324136448,51.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
