break_even_price,implied_volatility,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,greeks.delta,greeks.gamma,greeks.theta,greeks.vega,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe
472.985,0.27370090680324966,882,-0.02,-66.7,0.01,0.04,1.7065044e+18,0.01,0.03,0.03,1101.0,0.03134,put,american,2024-01-30,100,473,O:SPY240130P00473000,-0.006019392856768969,0.002267837561853067,-0.05579769073732702,0.005739316453678488,0.02,19751,322,0.01,2112,313,1706562678016340992,0.015,REAL-TIME,1.706562092055183e+18,[209],0.01,1.0,309.0,REAL-TIME,-18.0,1706566042664777472,490.94,SPY,REAL-TIME
473.985,0.25966099670882054,1391,-0.03,-75.0,0.01,0.04,1.7065044e+18,0.01,0.03,0.04,1878.0,0.02973,put,american,2024-01-30,100,474,O:SPY240130P00474000,-0.0063167623738592735,0.0024945125212686562,-0.055222252179223136,0.005740448117250841,0.02,9132,323,0.01,2214,323,1706562781547917312,0.015,REAL-TIME,1.7065627387413614e+18,[236],0.01,1.0,308.0,REAL-TIME,-17.0,1706566042664777472,490.94,SPY,REAL-TIME
474.985,0.24565388065127639,1439,-0.03,-75.0,0.01,0.05,1.7065044e+18,0.01,0.03,0.04,2981.0,0.02233,put,american,2024-01-30,100,475,O:SPY240130P00475000,-0.00664733761691913,0.0027590208941955887,-0.054646814869935285,0.005741089458734804,0.02,20368,322,0.01,2016,313,1706562831336499456,0.015,REAL-TIME,1.7065618995443604e+18,[209],0.01,1.0,319.0,REAL-TIME,-16.0,1706566042664777472,490.94,SPY,REAL-TIME
475.985,0.23167999204628684,1951,-0.03,-75.0,0.01,0.05,1.7065044e+18,0.01,0.04,0.04,3098.0,0.03432,put,american,2024-01-30,100,476,O:SPY240130P00476000,-0.00701700663496757,0.0030704250815159115,-0.05407138150227794,0.00574114398945106,0.02,7304,323,0.01,5544,323,1706562881481718016,0.015,REAL-TIME,1.706562070880948e+18,[209],0.01,1.0,309.0,REAL-TIME,-15.0,1706566042664777472,490.94,SPY,REAL-TIME
476.985,0.21773990627669335,2164,-0.05,-83.3,0.01,0.06,1.7065044e+18,0.01,0.02,0.06,3083.0,0.02637,put,american,2024-01-30,100,477,O:SPY240130P00477000,-0.007433132373733406,0.003440689443628561,-0.05349595643945352,0.005740558349528429,0.02,7242,323,0.01,6212,323,1706562899773219328,0.015,REAL-TIME,1.7065628294478392e+18,[227],0.01,67.0,301.0,REAL-TIME,-14.0,1706566042664777472,490.94,SPY,REAL-TIME
477.985,0.20383438843552312,4726,-0.05,-71.4,0.02,0.07,1.7065044e+18,0.01,0.05,0.07,3937.0,0.0524,put,american,2024-01-30,100,478,O:SPY240130P00478000,-0.007905043461325962,0.0038858731293493092,-0.052920544940986525,0.00573926983498974,0.02,6085,323,0.01,6880,323,1706562881481728768,0.015,REAL-TIME,1.7065627387413614e+18,[236],0.02,1.0,308.0,REAL-TIME,-13.0,1706566042664777472,490.94,SPY,REAL-TIME
478.985,0.18996445658439007,4812,-0.07,-77.8,0.02,0.09,1.7065044e+18,0.01,0.07,0.09,22221.0,0.06726,put,american,2024-01-30,100,479,O:SPY240130P00479000,-0.0084447355664165,0.004427938647581637,-0.052345175848481945,0.005737092952364497,0.02,4583,322,0.01,18075,322,1706562881848731136,0.015,REAL-TIME,1.706562859317674e+18,[209],0.02,1.0,301.0,REAL-TIME,-12.0,1706566042664777472,490.94,SPY,REAL-TIME
479.975,0.18903883568789173,11095,-0.09,-75.0,0.03,0.12,1.7065044e+18,0.02,0.09,0.12,25746.0,0.08416,put,american,2024-01-30,100,480,O:SPY240130P00480000,-0.013515099981145598,0.006746707714308976,-0.07894345866601463,0.013425451023682661,0.03,5314,323,0.02,1851,323,1706562881481723392,0.025,REAL-TIME,1.7065625831655662e+18,[232],0.03,10.0,308.0,REAL-TIME,-11.0,1706566042664777472,490.94,SPY,REAL-TIME
480.975,0.1733328641777553,4153,-0.16,-84.2,0.03,0.17,1.7065044e+18,0.02,0.11,0.19,30899.0,0.1101,put,american,2024-01-30,100,481,O:SPY240130P00481000,-0.014573633116153808,0.007828117392038878,-0.0769414019192516,0.01341517935836602,0.03,4272,322,0.02,10701,322,1706562899797342720,0.025,REAL-TIME,1.7065628668136486e+18,[236],0.03,1.0,303.0,REAL-TIME,-9.96,1706566042664777472,490.94,SPY,REAL-TIME
481.965,0.16512140354486837,4746,-0.22,-84.6,0.04,0.24,1.7065044e+18,0.03,0.18,0.26,9893.0,0.1237,put,american,2024-01-30,100,482,O:SPY240130P00482000,-0.020542567435673068,0.011001339986856628,-0.09803269282703911,0.013432333324804702,0.04,2580,304,0.03,1902,313,1706562880398114816,0.035,REAL-TIME,1.7065627007787497e+18,[233],0.04,1.0,312.0,REAL-TIME,-8.98,1706566042664777472,490.94,SPY,REAL-TIME
